IDs         length   Exptl.  resolution  R-factor FreeRvalue
1VPOL       219      XRAY        2.150    0.21    0.27
2GSGC       116      XRAY        2.100    0.23    0.25
3IF1A       215      XRAY        2.390    0.23    0.28
1MIEL       219      XRAY        1.950    0.22    0.30
1UZ6M       218      XRAY        2.050    0.20    0.24
1Q9LA       219      XRAY        2.280    0.22    0.29
3U7YL       210      XRAY        2.450    0.21    0.26
1P7KA       214      XRAY        1.750    0.20    0.23
3FCTA       213      XRAY        2.400    0.21    0.29
1YY9C       213      XRAY        2.600    0.24    0.29
1PG7L       213      XRAY        2.500    0.22    0.27
2V17L       214      XRAY        1.650    0.16    0.22
2O5XL       219      XRAY        2.050    0.18    0.20
1BVKA       108      XRAY        2.700    0.21    0.30
3MLUL       218      XRAY        2.770    0.20    0.31
3CXHV       107      XRAY        2.500    0.23    0.26
3DETF       211      XRAY        2.800    0.26    0.30
1DFBL       212      XRAY        2.700    0.18    1.00
1CT8A       214      XRAY        2.200    0.21    0.28
3QRGL       218      XRAY        1.700    0.16    0.18
1A2YA       107      XRAY        1.500    0.20    0.25
3LIZL       211      XRAY        1.800    0.18    0.20
1XIWG       108      XRAY        1.900    0.21    0.24
1EMTL       214      XRAY        2.250    0.18    0.24
1OP3L       212      XRAY        1.750    0.23    0.25
3OAYK       213      XRAY        1.950    0.18    0.22
1OARL       110      XRAY        2.230    0.20    0.24
1LMKA       238      XRAY        2.600    0.20    1.00
1A7RL       107      XRAY        2.010    0.17    1.00
2DTML       219      XRAY        2.250    0.22    0.28
1Q1JM       215      XRAY        2.500    0.25    0.28
4D9QD       213      XRAY        2.280    0.19    0.23
1FAIL       214      XRAY        2.700    0.19    1.00
3A6CL       107      XRAY        1.800    0.19    0.22
3NH7L       213      XRAY        2.700    0.24    0.28
3B2UG       213      XRAY        2.580    0.23    0.29
1TZHL       213      XRAY        2.600    0.21    0.27
1XF5C       220      XRAY        2.600    0.20    0.24
2F5BL       214      XRAY        2.000    0.23    0.26
2G5BA       217      XRAY        2.300    0.23    0.28
1GAFL       214      XRAY        1.950    0.24    0.31
1XF2A       214      XRAY        2.300    0.20    0.24
1DN0C       215      XRAY        2.280    0.18    0.24
2VDQL       214      XRAY        2.590    0.14    0.19
3B9KL       213      XRAY        2.700    0.24    0.28
3BDXA       111      XRAY        2.300    0.20    0.25
1MVUA       114      XRAY        1.780    0.20    0.22
2Q1ED       109      XRAY        2.550    0.17    0.21
3EOAA       214      XRAY        2.800    0.23    0.26
3CDYB       109      XRAY        2.430    0.19    0.26
3MUGC       216      XRAY        2.490    0.21    0.25
3BPCA       219      XRAY        1.850    0.23    0.27
2OTUG       115      XRAY        1.680    0.20    0.21
1INDL       215      XRAY        2.200    0.19    1.00
3BD4B       112      XRAY        2.400    0.21    0.28
3DVGA       217      XRAY        2.600    0.22    0.26
1MCKA       216      XRAY        2.700    0.19    1.00
1OTSD       211      XRAY        2.510    0.26    0.30
2XQBL       211      XRAY        2.600    0.25    0.32
1N0XL       215      XRAY        1.800    0.23    0.25
3CX5V       107      XRAY        1.900    0.24    0.26
1LMKG       238      XRAY        2.600    0.20    1.00
3DSFL       213      XRAY        2.800    0.24    0.30
3EOAL       214      XRAY        2.800    0.23    0.26
1IC4L       107      XRAY        2.500    0.18    0.28
1JGUL       220      XRAY        1.800    0.21    0.23
3UTZD       219      XRAY        2.180    0.23    0.29
1TZGM       214      XRAY        2.200    0.22    0.26
2VDPL       214      XRAY        2.800    0.16    0.20
3LRHM       121      XRAY        2.600    0.22    0.28
1QFUL       217      XRAY        2.800    0.20    0.28
3RVXC       213      XRAY        2.500    0.18    0.23
2VH5L       104      XRAY        2.700    0.21    0.29
3U2SB       216      XRAY        1.800    0.18    0.20
3CDFA       109      XRAY        1.530    0.19    0.23
1OAUN       110      XRAY        1.800    0.23    0.26
3H3BC       259      XRAY        2.450    0.20    0.26
2Z91D       213      XRAY        2.600    0.22    0.27
3D85A       214      XRAY        1.900    0.17    0.21
2Q8AL       214      XRAY        2.400    0.20    0.24
2OR9L       218      XRAY        2.700    0.25    0.31
1Y18A       216      XRAY        2.800    0.22    0.25
2FJFQ       214      XRAY        2.650    0.20    0.25
3CFJC       216      XRAY        2.600    0.20    0.25
1OAXN       110      XRAY        2.670    0.24    0.28
3G5ZA       213      XRAY        2.600    0.22    0.30
1QP1C       107      XRAY        2.060    0.18    0.21
3AUVF       276      XRAY        2.400    0.22    0.25
1YJDL       212      XRAY        2.700    0.24    0.28
1BFOG       214      XRAY        2.600    0.19    0.26
2OK0L       219      XRAY        1.890    0.18    0.20
1H8SA       252      XRAY        2.400    0.20    0.27
1JN6A       210      XRAY        2.700    0.25    0.30
3T3PF       214      XRAY        2.200    0.19    0.22
2HFEB       211      XRAY        2.250    0.23    0.25
1A6TA       210      XRAY        2.700    0.17    0.27
1DBJL       216      XRAY        2.700    0.21    1.00
3C08L       212      XRAY        2.150    0.23    0.26
3MNZA       224      XRAY        1.800    0.18    0.21
1U8KA       214      XRAY        2.240    0.21    0.25
2XRAL       215      XRAY        2.300    0.24    0.28
1NBYA       214      XRAY        1.800    0.22    0.25
2DQDL       107      XRAY        1.800    0.19    0.21
3OZ9L       211      XRAY        1.600    0.19    0.23
1XGYL       216      XRAY        2.710    0.28    0.27
2Q1EA       109      XRAY        2.550    0.17    0.21
1NCAL       214      XRAY        2.500    0.19    1.00
1XGUA       214      XRAY        2.100    0.22    0.24
3QEHH       218      XRAY        2.590    0.22    0.25
1WTLB       108      XRAY        1.900    0.16    1.00
1OAYN       110      XRAY        2.660    0.23    0.28
2OZ4L       214      XRAY        2.700    0.21    0.25
3C6SG       219      XRAY        1.800    0.19    0.25
1NQBA       256      XRAY        2.000    0.19    0.23
3K2UL       214      XRAY        2.350    0.24    0.29
1YYLL       214      XRAY        2.750    0.20    0.28
2R8SL       214      XRAY        1.950    0.20    0.23
3LH2M       114      XRAY        2.650    0.22    0.27
3R06E       213      XRAY        2.500    0.19    0.24
3EYFA       216      XRAY        2.300    0.21    0.23
2OQJG       211      XRAY        2.800    0.24    0.28
3T77A       219      XRAY        1.740    0.21    0.24
2OSLL       213      XRAY        2.600    0.24    0.30
3U30E       214      XRAY        2.430    0.23    0.26
1C1EL       216      XRAY        1.900    0.26    0.29
2G2RA       219      XRAY        2.750    0.20    0.25
1G7JA       107      XRAY        1.750    0.20    0.23
2R2BA       219      XRAY        1.600    0.23    0.25
2VXSO       216      XRAY        2.630    0.21    0.26
1Q9OC       219      XRAY        1.790    0.22    0.25
1FE8L       211      XRAY        2.030    0.23    0.26
2FJFU       214      XRAY        2.650    0.20    0.25
1IC7L       107      XRAY        2.100    0.18    0.23
1OAQL       120      XRAY        1.500    0.16    0.18
1MCRA       216      XRAY        2.700    0.20    1.00
1ZLUK       211      XRAY        2.750    0.22    0.29
2XQYK       220      XRAY        2.050    0.19    0.20
3L5WA       214      XRAY        2.000    0.21    0.25
3T4YA       219      XRAY        1.730    0.20    0.23
2B0SL       215      XRAY        2.300    0.22    0.27
3MLXM       211      XRAY        1.900    0.19    0.23
2IPUL       219      XRAY        1.650    0.18    0.23
1XF4L       214      XRAY        2.500    0.19    0.22
3SKJM       214      XRAY        2.500    0.22    0.27
3INUL       217      XRAY        2.500    0.20    0.25
1NFDG       212      XRAY        2.800    0.24    0.31
1WZ1L       113      XRAY        1.850    0.22    0.25
1RZJL       214      XRAY        2.200    0.26    0.32
1RFDL       218      XRAY        2.090    0.18    0.23
1QP1A       107      XRAY        2.060    0.18    0.21
1IGCL       213      XRAY        2.600    0.17    1.00
1RHHA       215      XRAY        1.900    0.22    0.23
1IL1B       219      XRAY        2.200    0.19    0.25
2FX9M       214      XRAY        2.100    0.24    0.27
1PLGL       215      XRAY        2.800    0.16    1.00
1MCLB       216      XRAY        2.700    0.19    1.00
1JVKB       216      XRAY        1.940    0.22    0.25
1FJ1C       213      XRAY        2.680    0.23    0.28
2DWDB       212      XRAY        2.600    0.24    0.26
3HI6Y       212      XRAY        2.300    0.17    0.23
3RVUC       213      XRAY        2.500    0.21    0.27
1BVKD       108      XRAY        2.700    0.21    0.30
3CFKL       216      XRAY        2.600    0.22    0.24
2FB4L       216      XRAY        1.900    0.19    1.00
2W0LA       111      XRAY        2.200    0.21    0.24
3H0TA       216      XRAY        1.890    0.20    0.25
3CDFB       109      XRAY        1.530    0.19    0.23
2BX5H       107      XRAY        2.700    0.25    0.29
3RA7L       214      XRAY        2.800    0.20    0.23
3CDFE       109      XRAY        1.530    0.19    0.23
3DUUC       112      XRAY        1.950    0.20    0.22
1IGML       115      XRAY        2.300    0.20    1.00
1FL6L       217      XRAY        2.800    0.24    0.27
1LGVB       216      XRAY        1.950    0.20    0.24
2R1WA       219      XRAY        1.700    0.22    0.25
1WCBL       213      XRAY        2.500    0.22    0.29
2ZNXA       242      XRAY        2.300    0.20    0.23
2YBRH       146      XRAY        2.550    0.20    0.25
1UYWL       212      XRAY        2.000    0.20    0.22
2HFFL       214      XRAY        1.950    0.19    0.22
3DUSA       112      XRAY        1.950    0.26    0.28
1NC4C       215      XRAY        2.250    0.26    0.25
3G04A       216      XRAY        2.550    0.18    0.24
1CR9L       219      XRAY        2.000    0.17    0.22
3DURC       112      XRAY        1.860    0.18    0.25
1TJGL       214      XRAY        2.000    0.20    0.23
1DCLA       216      XRAY        2.300    0.14    1.00
3MLTD       219      XRAY        2.490    0.21    0.28
2VXQL       214      XRAY        1.900    0.18    0.23
1I8KA       107      XRAY        1.800    0.18    0.22
1EK3A       114      XRAY        1.900    0.19    0.24
3LRHG       121      XRAY        2.600    0.22    0.28
3HR5A       219      XRAY        2.400    0.21    0.25
1MRFL       219      XRAY        2.400    0.18    1.00
3BD3A       112      XRAY        1.600    0.23    0.27
1P7KL       214      XRAY        1.750    0.20    0.23
1B0WB       108      XRAY        1.800    0.23    0.30
3TCLL       215      XRAY        1.910    0.20    0.24
2QQKL       214      XRAY        2.750    0.19    0.24
1EEUB       114      XRAY        1.600    0.19    0.22
3HR5Q       219      XRAY        2.400    0.21    0.25
3KYMC       214      XRAY        2.620    0.27    0.34
1QKZL       217      XRAY        1.950    0.21    0.26
1P4BL       135      XRAY        2.350    0.23    0.30
3DV6A       112      XRAY        1.950    0.23    0.30
4BJLA       216      XRAY        2.400    0.15    1.00
1IBGL       217      XRAY        2.700    0.21    1.00
3OAZL       213      XRAY        1.750    0.18    0.22
3MODL       214      XRAY        2.200    0.19    0.21
1WTLA       108      XRAY        1.900    0.16    1.00
3BN9E       214      XRAY        2.170    0.23    0.27
2PCPA       216      XRAY        2.200    0.20    0.29
3JUYD       256      XRAY        2.500    0.20    0.26
3LEYL       219      XRAY        1.990    0.18    0.21
2UYLV       219      XRAY        2.500    0.21    0.26
3PNWM       228      XRAY        2.050    0.22    0.26
15C8L       213      XRAY        2.500    0.19    0.25
3CFBL       219      XRAY        1.600    0.19    0.22
2VXTL       214      XRAY        1.490    0.16    0.20
3HNSL       214      XRAY        2.000    0.17    0.22
1UWEU       213      XRAY        2.670    0.22    0.27
2UYLM       219      XRAY        2.500    0.21    0.26
2ZKHL       213      XRAY        2.040    0.20    0.23
3HB3D       120      XRAY        2.250    0.22    0.28
3OKLA       219      XRAY        1.800    0.19    0.24
1MLCC       214      XRAY        2.500    0.18    0.28
2GHWD       247      XRAY        2.300    0.25    0.29
1RZ8A       214      XRAY        2.300    0.21    0.26
3UX9B       256      XRAY        2.800    0.19    0.24
1M7DA       215      XRAY        2.300    0.22    0.28
1W72L       210      XRAY        2.150    0.19    0.25
3LEXB       219      XRAY        1.970    0.17    0.20
1IVLB       107      XRAY        2.170    0.17    1.00
1OARN       110      XRAY        2.230    0.20    0.24
2FJFM       214      XRAY        2.650    0.20    0.25
1INEL       215      XRAY        2.800    0.18    1.00
1MCBA       216      XRAY        2.700    0.20    1.00
2DQHL       107      XRAY        2.300    0.21    0.26
3JUYB       256      XRAY        2.500    0.20    0.26
2XZCL       216      XRAY        1.360    0.16    0.19
3QHZL       217      XRAY        1.550    0.18    0.21
3C5SA       219      XRAY        2.000    0.20    0.26
3PNWD       228      XRAY        2.050    0.22    0.26
3HZVA       219      XRAY        1.900    0.21    0.25
1QACA       114      XRAY        1.800    0.19    0.23
3BDXC       111      XRAY        2.300    0.20    0.25
1BGXL       210      XRAY        2.300    0.19    0.25
1NGQL       215      XRAY        2.400    0.19    0.25
1RZFL       213      XRAY        1.700    0.20    0.23
1OSPL       214      XRAY        1.950    0.23    0.29
3GJEA       212      XRAY        2.300    0.23    0.30
43C9G       113      XRAY        2.200    0.21    0.27
3VG0L       215      XRAY        2.270    0.19    0.26
1CLZL       219      XRAY        2.800    0.20    0.29
1RIVL       218      XRAY        2.200    0.17    0.21
2FJFW       214      XRAY        2.650    0.20    0.25
43CAG       113      XRAY        2.300    0.21    0.26
1XIWC       108      XRAY        1.900    0.21    0.24
1A6VL       110      XRAY        1.800    0.30    1.00
3CFCL       219      XRAY        1.700    0.19    0.23
2GSGA       116      XRAY        2.100    0.23    0.25
2B2XM       213      XRAY        2.200    0.24    0.27
1XF2L       214      XRAY        2.300    0.20    0.24
3T3MF       214      XRAY        2.600    0.18    0.22
2OMNA       217      XRAY        2.200    0.23    0.28
1WT5D       122      XRAY        2.100    0.27    0.30
2FJFC       214      XRAY        2.650    0.20    0.25
3MLWL       215      XRAY        2.700    0.22    0.29
1HEZC       214      XRAY        2.700    0.21    0.28
3QEHF       218      XRAY        2.590    0.22    0.25
4LVEA       114      XRAY        2.300    0.19    0.27
3H3PM       114      XRAY        2.700    0.23    0.29
2IBZY       107      XRAY        2.300    0.22    0.26
3QQ9L       218      XRAY        1.640    0.17    0.22
2Y5TB       218      XRAY        2.200    0.19    0.24
1Y0LL       216      XRAY        2.500    0.21    0.24
3QCUM       218      XRAY        1.980    0.22    0.25
1XF4A       214      XRAY        2.500    0.19    0.22
3T0WB       123      XRAY        1.500    0.15    0.18
3G5YA       213      XRAY        1.590    0.20    0.25
2BX5B       107      XRAY        2.700    0.25    0.29
3CFJA       216      XRAY        2.600    0.20    0.25
3B2UR       213      XRAY        2.580    0.23    0.29
3Q6GL       209      XRAY        1.900    0.19    0.23
1CLOL       213      XRAY        2.100    0.21    1.00
1FVCA       109      XRAY        2.200    0.18    1.00
1JRHL       213      XRAY        2.800    0.25    0.31
1L7IL       214      XRAY        1.800    0.20    0.23
2OTUC       115      XRAY        1.680    0.20    0.21
2OJZM       219      XRAY        2.730    0.20    0.26
3MUGA       216      XRAY        2.490    0.21    0.25
3UZEB       253      XRAY        2.040    0.22    0.23
1HEZA       214      XRAY        2.700    0.21    0.28
2VXUL       214      XRAY        2.360    0.19    0.24
1AXSA       211      XRAY        2.600    0.20    0.30
1LHZB       216      XRAY        2.300    0.17    0.23
3U0TA       219      XRAY        2.500    0.22    0.27
3G5XA       214      XRAY        2.300    0.23    0.29
1ND0C       219      XRAY        2.450    0.24    0.29
2RCSL       214      XRAY        2.100    0.21    0.26
3LRSL       211      XRAY        2.370    0.21    0.26
4AG4L       213      XRAY        2.800    0.22    0.28
1EGJL       215      XRAY        2.800    0.22    0.29
3NAAL       214      XRAY        1.700    0.18    0.20
3GIZL       211      XRAY        2.200    0.20    0.25
2OTUE       115      XRAY        1.680    0.20    0.21
2NY7L       215      XRAY        2.300    0.20    0.26
1JP5A       247      XRAY        2.700    0.26    0.29
3HNVL       214      XRAY        2.000    0.18    0.23
2ATKB       212      XRAY        2.500    0.24    0.26
2UZIL       104      XRAY        2.000    0.20    0.27
1FL5L       217      XRAY        2.100    0.24    0.27
1OAYL       110      XRAY        2.660    0.23    0.28
2A1WM       216      XRAY        2.700    0.19    0.25
1KIRA       107      XRAY        2.000    0.17    1.00
1OAUM       110      XRAY        1.800    0.23    0.26
1YEGL       219      XRAY        2.000    0.20    0.24
2V7NE       215      XRAY        1.920    0.15    0.20
1BREC       108      XRAY        2.000    0.22    0.34
3HC0B       213      XRAY        1.900    0.18    0.21
8FABC       212      XRAY        1.800    0.17    1.00
2Y06L       211      XRAY        2.500    0.23    0.27
1OM3M       212      XRAY        2.200    0.23    0.27
4D9LN       215      XRAY        2.480    0.18    0.24
3MLSM       219      XRAY        2.500    0.22    0.27
1PW3B       111      XRAY        1.900    0.24    0.23
3LRGA       121      XRAY        2.050    0.17    0.20
1NGXA       213      XRAY        1.800    0.23    0.25
1ORSA       214      XRAY        1.900    0.23    0.25
1JHLL       108      XRAY        2.400    0.21    1.00
1R3JA       212      XRAY        1.900    0.21    0.23
3NCJL       214      XRAY        1.600    0.20    0.23
2CGRL       219      XRAY        2.200    0.21    1.00
1FL3B       214      XRAY        2.450    0.10    0.26
1YEIL       219      XRAY        1.900    0.20    0.24
1Q0XL       212      XRAY        1.600    0.22    0.25
2HWZL       213      XRAY        1.800    0.19    1.00
2OTUA       115      XRAY        1.680    0.20    0.21
2W0LC       111      XRAY        2.200    0.21    0.24
3B2UO       213      XRAY        2.580    0.23    0.29
3B2UD       213      XRAY        2.580    0.23    0.29
2Q1EB       109      XRAY        2.550    0.17    0.21
3LS4L       215      XRAY        2.000    0.22    0.26
1Y0LE       216      XRAY        2.500    0.21    0.24
3MLYM       214      XRAY        1.700    0.18    0.21
1N8ZA       214      XRAY        2.520    0.23    0.28
1LVEA       122      XRAY        1.950    0.16    0.27
7FABL       208      XRAY        2.000    0.17    1.00
2V7NC       215      XRAY        1.920    0.15    0.20
2IH3B       212      XRAY        1.720    0.23    0.24
1LK3M       210      XRAY        1.910    0.19    0.24
1J05L       111      XRAY        1.500    0.19    0.22
3V6OE       215      XRAY        1.950    0.17    0.21
3UC0M       215      XRAY        2.710    0.22    0.25
1JHKL       214      XRAY        2.510    0.23    0.26
1MH5A       219      XRAY        2.100    0.22    0.29
2AJZA       216      XRAY        2.300    0.24    0.28
3H42L       217      XRAY        2.300    0.19    0.21
2BX5M       107      XRAY        2.700    0.25    0.29
25C8L       212      XRAY        2.000    0.23    0.29
2V7NG       215      XRAY        1.920    0.15    0.20
1A8JL       216      XRAY        2.700    0.22    0.38
2MCG2       216      XRAY        2.000    0.19    1.00
2YC1B       146      XRAY        1.900    0.19    0.21
1MCDA       216      XRAY        2.700    0.19    1.00
2Q20B       109      XRAY        1.300    0.12    0.15
1CFTA       214      XRAY        2.800    0.24    0.33
3O41B       218      XRAY        1.950    0.18    0.22
3EO0C       215      XRAY        1.750    0.18    0.20
3HZKA       219      XRAY        2.150    0.22    0.26
1QYGL       218      XRAY        1.810    0.19    0.22
1IGTC       214      XRAY        2.800    0.21    0.30
3JWDO       213      XRAY        2.610    0.20    0.28
2H1PL       219      XRAY        2.400    0.19    1.00
3GKZA       257      XRAY        1.900    0.21    0.23
1UJ3A       215      XRAY        2.100    0.20    0.23
2BFVL       113      XRAY        2.500    0.19    1.00
1DVFC       107      XRAY        1.900    0.19    0.25
1S3KL       219      XRAY        1.900    0.20    0.24
3L7EA       214      XRAY        2.500    0.20    0.25
1YYMQ       214      XRAY        2.200    0.21    0.27
3QO1A       219      XRAY        2.400    0.17    0.22
1X9QA       268      XRAY        1.500    0.19    0.19
3KR3L       215      XRAY        2.200    0.20    0.25
1MLCA       214      XRAY        2.500    0.18    0.28
1YEFL       219      XRAY        2.000    0.20    0.25
2AEPL       214      XRAY        2.100    0.19    0.22
3U6RL       143      XRAY        2.670    0.20    0.23
1Y0LC       216      XRAY        2.500    0.21    0.24
2G5BE       217      XRAY        2.300    0.23    0.28
3QPQI       215      XRAY        1.900    0.20    0.26
1LMKE       238      XRAY        2.600    0.20    1.00
6FABL       214      XRAY        1.900    0.21    1.00
3DIFC       214      XRAY        2.400    0.22    0.29
2FATL       212      XRAY        1.770    0.24    0.27
3KYME       214      XRAY        2.620    0.27    0.34
3QNZA       219      XRAY        2.200    0.20    0.23
1NC4A       215      XRAY        2.250    0.26    0.25
3IDGA       214      XRAY        1.860    0.22    0.23
1AR2A       109      XRAY        2.800    0.28    0.41
3B2UK       213      XRAY        2.580    0.23    0.29
3CMOX       210      XRAY        2.300    0.25    0.29
1EO8L       210      XRAY        2.800    0.20    0.30
1YY8A       213      XRAY        2.000    0.22    0.26
2ORBL       218      XRAY        2.200    0.26    0.32
3LMJL       217      XRAY        2.200    0.19    0.22
3PNWG       228      XRAY        2.050    0.22    0.26
4DKFM       214      XRAY        2.610    0.23    0.26
3CFDA       214      XRAY        2.500    0.21    0.24
2Q20A       109      XRAY        1.300    0.12    0.15
4D9LM       215      XRAY        2.480    0.18    0.24
1N4XL       113      XRAY        1.700    0.23    0.26
3L1OL       214      XRAY        2.000    0.16    0.25
3G5VA       212      XRAY        2.000    0.23    0.28
2FBJL       213      XRAY        1.950    0.19    1.00
2XZAL       216      XRAY        1.500    0.17    0.21
1RUML       219      XRAY        1.480    0.17    0.24
1AR1D       120      XRAY        2.700    0.21    0.26
2DQUL       219      XRAY        1.700    0.21    0.25
3IF1C       215      XRAY        2.390    0.23    0.28
1MCEB       216      XRAY        2.700    0.19    1.00
3DUUA       112      XRAY        1.950    0.20    0.22
1XF3L       214      XRAY        2.300    0.21    0.24
1A4KL       217      XRAY        2.400    0.21    0.29
1BJMA       216      XRAY        2.200    0.16    1.00
1F4WL       210      XRAY        2.300    0.20    0.26
1YY8C       213      XRAY        2.000    0.22    0.26
1NFDE       212      XRAY        2.800    0.24    0.31
1GGIL       218      XRAY        2.800    0.19    1.00
2BX5K       107      XRAY        2.700    0.25    0.29
3IFNL       219      XRAY        1.500    0.19    0.21
1BM3L       214      XRAY        2.000    0.15    1.00
2I5YQ       214      XRAY        2.200    0.21    0.27
3UJJL       213      XRAY        2.000    0.18    0.21
1A6VN       110      XRAY        1.800    0.30    1.00
2R56L       211      XRAY        2.800    0.25    0.29
1RUQL       217      XRAY        1.860    0.22    0.26
1IGJA       219      XRAY        2.500    0.18    1.00
1CF8L       215      XRAY        2.700    0.17    0.26
3AAZB       229      XRAY        2.200    0.21    0.27
2AI0N       217      XRAY        2.200    0.23    0.28
3RKDL       214      XRAY        1.900    0.19    0.22
3UJIL       209      XRAY        1.600    0.16    0.19
3U2SL       216      XRAY        1.800    0.18    0.20
3U4EB       216      XRAY        2.190    0.18    0.23
3AUVB       276      XRAY        2.400    0.22    0.25
1UB6B       213      XRAY        2.120    0.26    0.29
1OAUO       110      XRAY        1.800    0.23    0.26
2FD6L       214      XRAY        1.900    0.24    0.28
3IETA       217      XRAY        2.200    0.23    0.27
1C5CL       214      XRAY        1.610    0.19    0.25
3TWCL       211      XRAY        1.650    0.19    0.21
1BREA       108      XRAY        2.000    0.22    0.34
3RVWC       212      XRAY        1.950    0.16    0.20
2IQAA       219      XRAY        2.000    0.23    0.28
1REIA       107      XRAY        2.000    0.24    1.00
1A6UL       108      XRAY        2.100    0.19    1.00
4AEIM       219      XRAY        2.300    0.20    0.25
3H3BD       259      XRAY        2.450    0.20    0.26
3CFKA       216      XRAY        2.600    0.22    0.24
1MIML       210      XRAY        2.600    0.20    1.00
2W60B       217      XRAY        1.500    0.17    0.22
3DGGC       217      XRAY        2.300    0.19    0.25
3C5SC       219      XRAY        2.000    0.20    0.26
2BMKL       213      XRAY        2.300    0.21    0.27
1MCHB       216      XRAY        2.700    0.25    1.00
1MJJA       219      XRAY        2.100    0.18    0.26
1E4XM       214      XRAY        1.900    0.24    0.31
3AAZL       229      XRAY        2.200    0.21    0.27
1BLNA       214      XRAY        2.800    0.21    0.29
1ZTXL       212      XRAY        2.500    0.22    0.28
3GI8L       220      XRAY        2.590    0.26    0.31
3QEGL       215      XRAY        1.950    0.20    0.24
1UZ6V       218      XRAY        2.050    0.20    0.24
1K6QL       210      XRAY        2.400    0.23    0.30
3NFSL       212      XRAY        2.600    0.23    0.28
2JELL       217      XRAY        2.500    0.21    0.28
3PNWP       228      XRAY        2.050    0.22    0.26
2GJJB       264      XRAY        2.100    0.19    0.23
3Q3GJ       220      XRAY        2.700    0.21    0.24
1HKLL       214      XRAY        2.680    0.18    0.24
3T2NL       215      XRAY        2.550    0.24    0.28
3CLFL       214      XRAY        2.000    0.22    0.27
3QEHD       218      XRAY        2.590    0.22    0.25
3MLSO       219      XRAY        2.500    0.22    0.27
3L95A       214      XRAY        2.190    0.23    0.27
3B5GA       111      XRAY        1.900    0.17    0.21
