IDs         length   Exptl.  resolution  R-factor FreeRvalue
1K4CA       219      XRAY        2.000    0.22    0.23
2H1PH       220      XRAY        2.400    0.19    1.00
1IBGH       217      XRAY        2.700    0.21    1.00
3CFKP       227      XRAY        2.600    0.22    0.24
3PHQB       222      XRAY        2.000    0.23    0.28
1I3UA       127      XRAY        1.950    0.23    0.27
3R0MB       143      XRAY        1.500    0.19    0.22
1AJ7H       217      XRAY        2.100    0.22    0.26
3H3BC       259      XRAY        2.450    0.20    0.26
3DURD       121      XRAY        1.860    0.18    0.25
2R56H       221      XRAY        2.800    0.25    0.29
3RA7I       228      XRAY        2.800    0.20    0.23
2VDOH       221      XRAY        2.510    0.15    0.19
2HRPN       226      XRAY        2.200    0.20    0.29
1T66H       220      XRAY        2.300    0.20    0.25
3R06D       216      XRAY        2.500    0.19    0.24
1FORH       219      XRAY        2.750    0.17    1.00
3U0TB       217      XRAY        2.500    0.22    0.27
3C5SD       217      XRAY        2.000    0.20    0.26
1EGJH       220      XRAY        2.800    0.22    0.29
3IGAA       219      XRAY        2.750    0.24    0.27
1NMCB       122      XRAY        2.500    0.22    0.26
3HI5H       220      XRAY        2.500    0.24    0.28
3HZMB       225      XRAY        1.800    0.21    0.25
3EZJH       126      XRAY        2.800    0.19    0.24
2IPUH       226      XRAY        1.650    0.18    0.23
3AUVF       276      XRAY        2.400    0.22    0.25
3KYMH       227      XRAY        2.620    0.27    0.34
1H8SA       252      XRAY        2.400    0.20    0.27
2AJZH       219      XRAY        2.300    0.24    0.28
3NCJH       225      XRAY        1.600    0.20    0.23
2VDQH       221      XRAY        2.590    0.14    0.19
3MLXI       228      XRAY        1.900    0.19    0.23
3IJSB       226      XRAY        2.550    0.22    0.26
1YYMH       229      XRAY        2.200    0.21    0.27
2BFVH       119      XRAY        2.500    0.19    1.00
3D0VB       237      XRAY        2.050    0.22    0.23
2R8SH       224      XRAY        1.950    0.20    0.23
2P45B       123      XRAY        1.100    0.17    0.20
1ZVHA       134      XRAY        1.500    0.21    0.23
1NQBA       256      XRAY        2.000    0.19    0.23
2OQJB       224      XRAY        2.800    0.24    0.28
1CFQB       213      XRAY        2.800    0.22    0.31
3EZJB       126      XRAY        2.800    0.19    0.24
1W72H       223      XRAY        2.150    0.19    0.25
3STLA       219      XRAY        2.400    0.23    0.26
3QYCA       146      XRAY        1.600    0.21    0.23
2YC1A       117      XRAY        1.900    0.19    0.21
3MLSK       226      XRAY        2.500    0.22    0.27
3OAZH       223      XRAY        1.750    0.18    0.22
2GJZB       221      XRAY        2.650    0.21    0.25
3NPSB       226      XRAY        1.500    0.19    0.23
2XV6D       121      XRAY        1.890    0.18    0.20
3Q6GI       234      XRAY        1.900    0.19    0.23
1DEEB       223      XRAY        2.700    0.23    0.28
1L7IH       222      XRAY        1.800    0.20    0.23
1BM3H       227      XRAY        2.000    0.15    1.00
3OAZM       223      XRAY        1.750    0.18    0.22
1VGEH       225      XRAY        2.000    0.18    1.00
3C6SB       217      XRAY        1.800    0.19    0.25
3PNWB       246      XRAY        2.050    0.22    0.26
1OAZJ       122      XRAY        2.780    0.21    0.28
3O6LH       219      XRAY        2.100    0.19    0.23
1I8MB       224      XRAY        2.100    0.23    0.26
3CFKK       227      XRAY        2.600    0.22    0.24
1F3DK       217      XRAY        1.870    0.20    0.22
3DUSB       121      XRAY        1.950    0.26    0.28
1DQMH       210      XRAY        2.100    0.23    0.27
2C1OH       218      XRAY        2.750    0.22    0.30
1C5DB       215      XRAY        2.400    0.20    0.30
2GK0H       221      XRAY        2.450    0.24    0.26
1DEED       223      XRAY        2.700    0.23    0.28
3OKEB       222      XRAY        2.400    0.23    0.29
1OAXI       122      XRAY        2.670    0.24    0.28
2P4AB       121      XRAY        1.900    0.19    0.22
3IU4H       263      XRAY        1.750    0.20    0.23
3MLYH       230      XRAY        1.700    0.18    0.21
3BKMH       224      XRAY        1.600    0.22    0.23
3BKJH       224      XRAY        1.590    0.21    0.23
1H3PH       219      XRAY        2.600    0.21    0.29
2DQTH       224      XRAY        1.800    0.19    0.25
1RHHD       239      XRAY        1.900    0.22    0.23
3C2AI       231      XRAY        2.100    0.24    0.30
2V7ND       229      XRAY        1.920    0.15    0.20
1J05B       121      XRAY        1.500    0.19    0.22
2P8MB       235      XRAY        2.700    0.22    0.24
2G75C       245      XRAY        2.280    0.22    0.28
1JFQH       222      XRAY        1.900    0.20    1.00
1I9IH       220      XRAY        2.720    0.20    0.25
2OQJH       224      XRAY        2.800    0.24    0.28
2IGFH       221      XRAY        2.800    0.22    1.00
3SE9H       228      XRAY        2.000    0.19    0.23
2YBRA       117      XRAY        2.550    0.20    0.25
2NY2D       229      XRAY        2.000    0.20    0.22
2Z93A       218      XRAY        2.400    0.30    0.34
1GAFH       217      XRAY        1.950    0.24    0.31
1NGYB       216      XRAY        2.200    0.23    0.27
3LEYH       221      XRAY        1.990    0.18    0.21
3S37H       221      XRAY        2.700    0.28    0.32
1RZ7H       219      XRAY        2.000    0.20    0.23
1FL6H       219      XRAY        2.800    0.24    0.27
1UWXM       225      XRAY        2.200    0.23    0.27
3HR5B       226      XRAY        2.400    0.21    0.25
1I7ZB       220      XRAY        2.300    0.22    0.27
3NZ8H       221      XRAY        2.700    0.23    0.27
3RVVD       255      XRAY        1.900    0.15    0.20
2PCPB       215      XRAY        2.200    0.20    0.29
1MHPH       219      XRAY        2.800    0.24    0.27
1MLBB       218      XRAY        2.100    0.18    0.27
2YC1D       117      XRAY        1.900    0.19    0.21
1J1PH       114      XRAY        1.800    0.19    0.21
3KYMN       227      XRAY        2.620    0.27    0.34
1YC8B       124      XRAY        2.700    0.25    0.32
3R06B       216      XRAY        2.500    0.19    0.24
1NCAH       221      XRAY        2.500    0.19    1.00
3QOSH       228      XRAY        2.000    0.20    0.23
1F8TH       220      XRAY        2.200    0.17    0.22
1WC7B       226      XRAY        2.330    0.22    0.31
2ZNXA       242      XRAY        2.300    0.20    0.23
1EJOH       220      XRAY        2.300    0.25    0.26
3NH7K       234      XRAY        2.700    0.24    0.28
1YC7B       124      XRAY        1.600    0.19    0.21
3BAEH       228      XRAY        1.590    0.21    0.25
2XZQH       220      XRAY        2.400    0.24    0.25
3MOAH       237      XRAY        2.300    0.19    0.22
2YK1H       211      XRAY        1.850    0.23    0.26
1KXQH       120      XRAY        1.600    0.20    0.22
3PNWN       246      XRAY        2.050    0.22    0.26
3IXTH       225      XRAY        2.750    0.22    0.27
2X1PB       127      XRAY        1.100    0.20    0.22
2AI0K       224      XRAY        2.200    0.23    0.28
3P9WH       123      XRAY        2.410    0.20    0.23
1DBAH       219      XRAY        2.800    0.20    1.00
1JTOB       148      XRAY        2.500    0.21    0.24
2FR4H       230      XRAY        1.950    0.21    0.26
2Y06H       220      XRAY        2.500    0.23    0.27
3GHBH       235      XRAY        2.250    0.20    0.23
2R0ZH       223      XRAY        2.100    0.20    0.26
3QG7H       213      XRAY        2.780    0.20    0.24
3QPQJ       223      XRAY        1.900    0.20    0.26
3FCTB       216      XRAY        2.400    0.21    0.29
1RZGA       231      XRAY        2.000    0.20    0.25
1A7OH       116      XRAY        2.000    0.17    1.00
2AJYH       219      XRAY        2.100    0.23    0.25
3CFCH       213      XRAY        1.700    0.19    0.23
1MHPX       219      XRAY        2.800    0.24    0.27
3QRGH       227      XRAY        1.700    0.16    0.18
1NGZB       220      XRAY        1.600    0.21    0.23
1KXQG       120      XRAY        1.600    0.20    0.22
1PG7H       217      XRAY        2.500    0.22    0.27
1GPOI       221      XRAY        1.950    0.21    0.28
1MFBH       219      XRAY        2.100    0.16    1.00
3QEGH       239      XRAY        1.950    0.20    0.24
4DKFH       226      XRAY        2.610    0.23    0.26
1E6OH       219      XRAY        1.800    0.23    0.26
3UC0I       236      XRAY        2.710    0.22    0.25
2ADGB       222      XRAY        2.500    0.24    0.24
3FO9B       218      XRAY        1.900    0.22    0.25
1BFOB       216      XRAY        2.600    0.19    0.26
1FGNH       214      XRAY        2.500    0.22    0.30
3LIZH       253      XRAY        1.800    0.18    0.20
1P7KB       224      XRAY        1.750    0.20    0.23
3JUYD       256      XRAY        2.500    0.20    0.26
1YMHB       218      XRAY        2.600    0.23    0.30
2OTWB       118      XRAY        2.350    0.23    0.26
2R56I       221      XRAY        2.800    0.25    0.29
3SKJI       231      XRAY        2.500    0.22    0.27
1RMFH       216      XRAY        2.800    0.19    1.00
2GHWD       247      XRAY        2.300    0.25    0.29
3UX9B       256      XRAY        2.800    0.19    0.24
2Q76D       216      XRAY        2.000    0.20    0.23
2AJVH       219      XRAY        1.500    0.18    0.23
1RIVH       223      XRAY        2.200    0.17    0.21
2Z92A       218      XRAY        2.300    0.23    0.27
3N9GH       230      XRAY        1.430    0.17    0.19
1E4XH       217      XRAY        1.900    0.24    0.31
1RUAH       222      XRAY        1.750    0.19    0.25
1UM5H       217      XRAY        1.600    0.20    0.25
3IFLH       222      XRAY        1.500    0.18    0.21
2P8LB       235      XRAY        2.440    0.20    0.23
3SGDH       217      XRAY        2.310    0.18    0.23
1BZQM       124      XRAY        2.800    0.22    0.28
3NACH       225      XRAY        1.800    0.19    0.21
1SEQH       225      XRAY        1.780    0.19    0.23
3QXUD       126      XRAY        1.800    0.18    0.21
2YKLH       212      XRAY        2.100    0.22    0.27
2VDRH       221      XRAY        2.400    0.15    0.19
3U7WH       229      XRAY        2.600    0.19    0.24
3BDYH       230      XRAY        2.600    0.20    0.25
3LHPI       137      XRAY        2.700    0.25    0.34
3JUYB       256      XRAY        2.500    0.20    0.26
3CFJH       227      XRAY        2.600    0.20    0.25
3HC0H       217      XRAY        1.900    0.18    0.21
1MRCH       215      XRAY        2.400    0.19    1.00
3PP3H       224      XRAY        2.510    0.21    0.27
1R3IH       219      XRAY        2.400    0.22    0.24
3GBMH       226      XRAY        2.700    0.21    0.26
2P43B       123      XRAY        1.650    0.16    0.20
2A77H       222      XRAY        1.800    0.22    0.26
3P0YH       228      XRAY        1.800    0.18    0.21
3MLWI       228      XRAY        2.700    0.22    0.29
3HZVB       226      XRAY        1.900    0.21    0.25
1BZQK       124      XRAY        2.800    0.22    0.28
1FL3H       208      XRAY        2.450    0.10    0.26
2OR9I       228      XRAY        2.700    0.25    0.31
1QBMH       219      XRAY        2.370    0.19    0.27
4AG4H       215      XRAY        2.800    0.22    0.28
1IFHH       220      XRAY        2.800    0.17    1.00
1T2JA       116      XRAY        1.500    0.18    0.20
1MJJB       227      XRAY        2.100    0.18    0.26
3TWCH       239      XRAY        1.650    0.19    0.21
3EHBC       127      XRAY        2.320    0.21    0.24
3QPQF       223      XRAY        1.900    0.20    0.26
2FX8J       227      XRAY        2.200    0.23    0.28
1YYLR       229      XRAY        2.750    0.20    0.28
2FX9H       227      XRAY        2.100    0.24    0.27
3MLXH       228      XRAY        1.900    0.19    0.23
1YEKH       222      XRAY        2.100    0.20    0.24
3QWOH       225      XRAY        1.900    0.19    0.23
1G7IB       116      XRAY        1.800    0.19    0.25
3CFKD       227      XRAY        2.600    0.22    0.24
1FN4B       218      XRAY        2.800    0.20    0.29
1DQQD       210      XRAY        1.800    0.21    0.26
2VL5A       218      XRAY        2.100    0.22    0.29
3MLTI       226      XRAY        2.490    0.21    0.28
3S96C       220      XRAY        1.900    0.19    0.26
3EZJD       126      XRAY        2.800    0.19    0.24
3NGBE       224      XRAY        2.680    0.20    0.26
2AJXH       219      XRAY        1.850    0.23    0.26
1OCWH       121      XRAY        2.000    0.27    0.29
1ZWIA       219      XRAY        2.500    0.26    0.26
1FGVH       124      XRAY        1.900    0.18    1.00
1OAKH       223      XRAY        2.200    0.20    0.27
43CAF       117      XRAY        2.300    0.21    0.26
3SE8H       233      XRAY        1.900    0.19    0.23
1Q9WB       226      XRAY        1.750    0.21    0.25
2AABH       243      XRAY        2.500    0.24    0.30
3MXVH       223      XRAY        1.900    0.18    0.22
3NABH       222      XRAY        2.320    0.21    0.26
1ND0D       222      XRAY        2.450    0.24    0.29
1RUKH       222      XRAY        1.400    0.17    0.21
3LH2K       137      XRAY        2.650    0.22    0.27
3UZEB       253      XRAY        2.040    0.22    0.23
1XF5D       218      XRAY        2.600    0.20    0.24
3BPCB       222      XRAY        1.850    0.23    0.27
2P7TA       219      XRAY        2.050    0.22    0.23
1TJHH       237      XRAY        2.100    0.20    0.23
1BJ1K       231      XRAY        2.400    0.20    0.27
2FJFH       227      XRAY        2.650    0.20    0.25
1A14H       120      XRAY        2.500    0.20    0.27
1N4XI       120      XRAY        1.700    0.23    0.26
3QOSB       228      XRAY        2.000    0.20    0.23
1A7NH       116      XRAY        2.010    0.15    1.00
3KYMJ       227      XRAY        2.620    0.27    0.34
3QHFH       227      XRAY        1.660    0.18    0.21
1JP5A       247      XRAY        2.700    0.26    0.29
1LO0Y       220      XRAY        2.000    0.21    0.26
3HC3H       217      XRAY        1.720    0.16    0.19
1Q72H       223      XRAY        1.700    0.22    0.25
1MPAH       225      XRAY        2.600    0.19    0.31
3CVIH       219      XRAY        1.800    0.22    0.26
2Q76B       216      XRAY        2.000    0.20    0.23
1UZ8B       212      XRAY        1.800    0.21    0.25
2HKHH       218      XRAY        2.100    0.22    0.27
3FO0H       229      XRAY        2.500    0.22    0.28
43C9B       118      XRAY        2.200    0.21    0.27
3LRSA       238      XRAY        2.370    0.21    0.26
3MUGJ       241      XRAY        2.490    0.21    0.25
1RI8A       134      XRAY        1.850    0.17    0.20
1ZV5A       130      XRAY        2.000    0.22    0.24
4D9RE       218      XRAY        2.420    0.21    0.25
1N8ZB       220      XRAY        2.520    0.23    0.28
3EYOB       242      XRAY        2.500    0.24    0.27
3IKCB       226      XRAY        2.600    0.24    0.29
2VYRK       153      XRAY        2.000    0.21    0.25
3QXVA       126      XRAY        2.500    0.23    0.28
1UCBH       219      XRAY        2.500    0.20    0.28
3U4EH       248      XRAY        2.190    0.18    0.23
3EYSH       223      XRAY        1.950    0.21    0.26
1XGRB       210      XRAY        2.100    0.25    0.30
1MHHB       217      XRAY        2.100    0.20    0.25
1OAQH       121      XRAY        1.500    0.16    0.18
3MLTB       226      XRAY        2.490    0.21    0.28
2OQJK       224      XRAY        2.800    0.24    0.28
2Z4QB       218      XRAY        2.300    0.19    0.23
1OAZH       122      XRAY        2.780    0.21    0.28
1FAIH       221      XRAY        2.700    0.19    1.00
3KDMB       225      XRAY        1.500    0.18    0.21
1BZ7B       217      XRAY        2.500    0.16    1.00
2C1PB       217      XRAY        2.000    0.23    0.28
1IGIH       218      XRAY        2.700    0.18    1.00
1ZLUM       224      XRAY        2.750    0.22    0.29
3KYMP       227      XRAY        2.620    0.27    0.34
1GGCH       215      XRAY        2.800    0.19    1.00
2XXMB       121      XRAY        1.650    0.19    0.22
3RPIH       229      XRAY        2.650    0.21    0.26
1PG7X       220      XRAY        2.500    0.22    0.27
3KS0H       225      XRAY        2.700    0.22    0.29
2NYYD       223      XRAY        2.610    0.21    0.25
3QXVD       126      XRAY        2.500    0.23    0.28
1OPGH       227      XRAY        2.000    0.16    1.00
1HKLH       217      XRAY        2.680    0.18    0.24
3R06H       216      XRAY        2.500    0.19    0.24
2DLFH       124      XRAY        1.550    0.18    0.23
1I9JH       220      XRAY        2.600    0.19    0.26
1TZIB       222      XRAY        2.800    0.22    0.25
2G5BD       222      XRAY        2.300    0.23    0.28
1OARI       122      XRAY        2.230    0.20    0.24
1UWGH       225      XRAY        2.790    0.21    0.28
3CFKH       227      XRAY        2.600    0.22    0.24
1UZ6W       217      XRAY        2.050    0.20    0.24
3NH7I       234      XRAY        2.700    0.24    0.28
3CFJF       227      XRAY        2.600    0.20    0.25
2CMRH       217      XRAY        2.000    0.21    0.26
3U4EA       248      XRAY        2.190    0.18    0.23
2DQCH       114      XRAY        1.800    0.19    0.22
3MCKH       228      XRAY        2.300    0.20    0.25
2VXTH       216      XRAY        1.490    0.16    0.20
2VYRF       153      XRAY        2.000    0.21    0.25
1MIEH       228      XRAY        1.950    0.22    0.30
3B9VB       120      XRAY        1.800    0.16    0.20
1QD0A       128      XRAY        2.500    0.21    0.28
1UYWM       218      XRAY        2.000    0.20    0.22
3IJHD       226      XRAY        2.100    0.21    0.25
3MOBH       237      XRAY        2.600    0.20    0.24
3FO9H       218      XRAY        1.900    0.22    0.25
1TZHH       229      XRAY        2.600    0.21    0.27
1Y18F       226      XRAY        2.800    0.22    0.25
2V7HH       220      XRAY        2.800    0.24    0.27
3GKZA       257      XRAY        1.900    0.21    0.23
2OJZH       216      XRAY        2.730    0.20    0.26
1CFNB       213      XRAY        2.650    0.28    0.33
1DEEF       223      XRAY        2.700    0.23    0.28
1MVFB       135      XRAY        1.650    0.22    0.25
2C1OB       218      XRAY        2.750    0.22    0.30
1DBBH       219      XRAY        2.700    0.21    1.00
3DVNB       230      XRAY        2.700    0.22    0.27
1S5IH       220      XRAY        2.700    0.20    0.28
1FL6B       219      XRAY        2.800    0.24    0.27
1MJUH       227      XRAY        1.220    0.12    0.15
1X9QA       268      XRAY        1.500    0.19    0.19
1YNLH       219      XRAY        1.700    0.21    0.24
1G7JB       116      XRAY        1.750    0.20    0.23
2F5AH       232      XRAY        2.050    0.23    0.27
2PCPD       215      XRAY        2.200    0.20    0.29
3S35H       217      XRAY        2.200    0.21    0.26
1I7ZD       220      XRAY        2.300    0.22    0.27
1DSFH       119      XRAY        2.000    0.18    1.00
3EAKA       137      XRAY        1.950    0.21    0.25
1MF2H       226      XRAY        2.600    0.21    0.31
1YNKH       219      XRAY        2.100    0.22    0.28
2Z93C       218      XRAY        2.400    0.30    0.34
1AD9H       219      XRAY        2.800    0.23    0.28
1LMKE       238      XRAY        2.600    0.20    1.00
2VQ1F       218      XRAY        2.500    0.21    0.26
1YEIH       222      XRAY        1.900    0.20    0.24
2X89C       128      XRAY        2.160    0.24    0.27
3CFKN       227      XRAY        2.600    0.22    0.24
3LZFH       230      XRAY        2.800    0.23    0.26
2BDNH       217      XRAY        2.530    0.22    0.28
2NY6D       229      XRAY        2.800    0.20    0.28
1T3FB       220      XRAY        2.000    0.17    0.22
1XGYI       219      XRAY        2.710    0.28    0.27
1Q9KB       222      XRAY        1.960    0.23    0.28
2X1PD       127      XRAY        1.100    0.20    0.22
2DQFB       114      XRAY        2.500    0.22    0.27
3K74B       115      XRAY        1.950    0.20    0.24
1WCBB       226      XRAY        2.500    0.22    0.29
3DV4B       121      XRAY        1.950    0.27    0.34
2AI0I       224      XRAY        2.200    0.23    0.28
1KIPB       116      XRAY        2.100    0.16    1.00
3IJHB       226      XRAY        2.100    0.21    0.25
2VQ1B       218      XRAY        2.500    0.21    0.26
8FABB       224      XRAY        1.800    0.17    1.00
2IQAH       223      XRAY        2.000    0.23    0.28
3GRWH       235      XRAY        2.100    0.19    0.23
3CX5U       127      XRAY        1.900    0.24    0.26
4AEIH       229      XRAY        2.300    0.20    0.25
1TZGI       232      XRAY        2.200    0.22    0.26
1RIHH       231      XRAY        2.500    0.18    0.24
1QFUH       223      XRAY        2.800    0.20    0.28
3EYQD       242      XRAY        2.400    0.25    0.27
2XA8H       219      XRAY        2.420    0.22    0.27
1DLFH       124      XRAY        1.450    0.18    0.23
2OZ4H       214      XRAY        2.700    0.21    0.25
1FVEB       223      XRAY        2.700    0.17    1.00
1MF2N       226      XRAY        2.600    0.21    0.31
1OP3H       225      XRAY        1.750    0.23    0.25
3K1KC       123      XRAY        2.150    0.21    0.26
2BSED       123      XRAY        2.700    0.25    0.29
3GK8H       220      XRAY        2.000    0.27    0.31
2VDLH       221      XRAY        2.750    0.15    0.19
3G6AB       229      XRAY        2.100    0.21    0.28
3NIFE       221      XRAY        2.400    0.18    0.22
2FJFF       227      XRAY        2.650    0.20    0.25
3RA7H       228      XRAY        2.800    0.20    0.23
1FRGH       220      XRAY        2.800    0.19    1.00
2I5YR       229      XRAY        2.200    0.21    0.27
1HZHH       457      XRAY        2.700    0.23    0.27
1J1OH       114      XRAY        1.800    0.19    0.21
3QXTA       126      XRAY        1.700    0.18    0.20
4FABH       216      XRAY        2.700    0.21    1.00
1P2CB       218      XRAY        2.000    0.20    0.24
1I8KB       124      XRAY        1.800    0.18    0.22
3OGOH       123      XRAY        2.800    0.20    0.25
3QPQD       223      XRAY        1.900    0.20    0.26
3NTCH       221      XRAY        1.550    0.18    0.22
2GJZH       221      XRAY        2.650    0.21    0.25
2MPAH       225      XRAY        2.600    0.20    0.26
3PGFH       231      XRAY        2.100    0.18    0.23
3Q3GD       224      XRAY        2.700    0.21    0.24
2A1WI       225      XRAY        2.700    0.19    0.25
3HC4H       213      XRAY        1.620    0.16    0.18
1IC7H       114      XRAY        2.100    0.18    0.23
1SHMA       127      XRAY        1.900    0.19    0.24
1NMBH       122      XRAY        2.200    0.21    1.00
2R2EB       222      XRAY        2.400    0.25    0.31
2VXSJ       225      XRAY        2.630    0.21    0.26
2R0LH       220      XRAY        2.200    0.20    0.25
2F5BH       235      XRAY        2.000    0.23    0.26
2H8PA       219      XRAY        2.250    0.23    0.24
3BZ4B       217      XRAY        1.800    0.18    0.23
1IGJB       218      XRAY        2.500    0.18    1.00
1M7IB       220      XRAY        2.500    0.22    0.28
2NY5H       229      XRAY        2.500    0.20    0.26
2P4AD       121      XRAY        1.900    0.19    0.22
3AUVB       276      XRAY        2.400    0.22    0.25
1JTPB       148      XRAY        1.900    0.18    0.23
1OAUK       122      XRAY        1.800    0.23    0.26
2DQIH       114      XRAY        2.000    0.22    0.26
2XTJD       131      XRAY        2.700    0.20    0.26
2HVKA       219      XRAY        1.900    0.23    0.24
2BSEF       123      XRAY        2.700    0.25    0.29
1LO2H       220      XRAY        2.000    0.21    0.25
1JGLH       218      XRAY        2.150    0.20    0.25
2O5XH       227      XRAY        2.050    0.18    0.20
3NZ8A       221      XRAY        2.700    0.23    0.27
3H3BD       259      XRAY        2.450    0.20    0.26
3SY0B       222      XRAY        1.490    0.19    0.21
2IQAB       223      XRAY        2.000    0.23    0.28
1UM6H       217      XRAY        1.800    0.23    0.26
3CFII       116      XRAY        2.580    0.23    0.28
3GKWH       222      XRAY        2.500    0.22    0.28
2FJGH       227      XRAY        2.800    0.21    0.24
1FL5B       219      XRAY        2.100    0.24    0.27
1PG7Z       220      XRAY        2.500    0.22    0.27
3DRQB       235      XRAY        2.000    0.23    0.25
3B2UT       223      XRAY        2.580    0.23    0.29
2WUCH       224      XRAY        2.700    0.23    0.27
1BFVH       119      XRAY        2.100    0.19    0.27
1D5IH       221      XRAY        2.000    0.23    0.26
3NIGE       221      XRAY        2.250    0.17    0.21
1ZLSH       224      XRAY        2.000    0.28    0.33
1CFSB       213      XRAY        2.750    0.23    0.33
1A4JB       219      XRAY        2.100    0.23    0.29
2XRAH       223      XRAY        2.300    0.24    0.28
1ZA6D       344      XRAY        2.800    0.25    0.30
2HVJA       219      XRAY        2.750    0.22    0.25
1Q1JI       231      XRAY        2.500    0.25    0.28
3MLVH       226      XRAY        2.480    0.24    0.34
2GJJB       264      XRAY        2.100    0.19    0.23
3MLSH       226      XRAY        2.500    0.22    0.27
1HILD       220      XRAY        2.000    0.20    1.00
3LH2I       137      XRAY        2.650    0.22    0.27
1MFEH       219      XRAY        2.000    0.18    1.00
2FR4B       230      XRAY        1.950    0.21    0.26
3QXWD       126      XRAY        1.850    0.19    0.24
1FVDD       223      XRAY        2.500    0.18    1.00
1Q9LD       222      XRAY        2.280    0.22    0.29
3MUGH       241      XRAY        2.490    0.21    0.25
1U8MB       235      XRAY        2.400    0.22    0.23
1T66D       220      XRAY        2.300    0.20    0.25
1OAYJ       122      XRAY        2.660    0.23    0.28
3DVGB       230      XRAY        2.600    0.22    0.26
1I3VB       129      XRAY        2.030    0.21    0.25
2GCYB       218      XRAY        2.500    0.23    0.23
